Algorithm,ArraySize,Comparisons,Swaps,ArrayAccesses,ExecutionTime(ms)
Prim,1,16,0,16,6.806
Kruskal,1,67,0,67,2.035
Prim,2,11,0,11,0.0313
Kruskal,2,49,0,49,0.0685
Prim,3,37,0,37,0.0764
Kruskal,3,166,0,166,0.0983
Prim,4,56,0,56,0.1266
Kruskal,4,301,0,301,0.153
Prim,5,122,0,122,0.2423
Kruskal,5,716,0,716,0.2703
Prim,6,272,0,272,0.1509
Kruskal,6,1448,0,1448,0.6952
Prim,7,280,0,280,0.0
Kruskal,7,1484,0,1484,0.0
Prim,8,302,0,302,0.1367
Kruskal,8,1608,0,1608,0.1903
Prim,9,283,0,283,0.0
Kruskal,9,1500,0,1500,0.0
Prim,10,302,0,302,0.1625
Kruskal,10,1610,0,1610,0.1893
Prim,11,302,0,302,0.1501
Kruskal,11,1610,0,1610,0.1773
Prim,12,302,0,302,0.1307
Kruskal,12,1614,0,1614,0.1845
Prim,13,302,0,302,0.121
Kruskal,13,1618,0,1618,0.1742
Prim,14,302,0,302,0.1304
Kruskal,14,1620,0,1620,0.1736
Prim,15,302,0,302,0.1229
Kruskal,15,1620,0,1620,0.175
Prim,17,900,0,900,0.3443
Kruskal,17,5532,0,5532,0.5244
Prim,18,901,0,901,0.3265
Kruskal,18,5528,0,5528,0.5769
Prim,19,902,0,902,0.3448
Kruskal,19,5548,0,5548,0.6978
Prim,20,902,0,902,0.4158
Kruskal,20,5530,0,5530,0.7937
Prim,21,902,0,902,0.2885
Kruskal,21,5534,0,5534,0.6122
Prim,23,603,0,603,0.0
Kruskal,23,3710,0,3710,0.0
Prim,24,603,0,603,0.0
Kruskal,24,3421,0,3421,0.0
Prim,25,600,0,600,0.1783
Kruskal,25,3412,0,3412,0.2847
